country,ISO Country code,population,surface area (Km2),,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),,"GDP (billions PPP)",GDP per capita (PPP),"GDP growth (annual %)","health expenditure % of GDP","health expenditure per person","education expenditure % of GDP","education expenditure per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),,political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Bosnia and Herzegovina,BIH,"3,900,000","51,187",,33.8,25.3,0.768,5.09,50.20,,42.2,"10,958",2.8,9.4,"1,102",-,-,14,25.8,41.5,44.10,,4,4,-0.38,-0.5,-0.2,-0.210,-0.52,43.70,28.40,39.50,83.50,61.40,60.00,21.4
Botswana,BWA,"2,200,000","566,730",,60.5,16.6,0.717,3.50,44.10,,36.7,"17,042",-0.3,6.0,970,-,-,13,18.4,63.4,34.90,,3,2,1.03,0.4,0.5,0.510,0.80,54.70,56.60,57.70,76.10,69.90,70.00,9.5
Brazil,BRA,"209,000,000","8,358,140",,49.0,34.3,0.759,6.33,51.60,,3141.3,"15,242",-3.8,8.9,"1,392",5.9,715,15,11.5,50.7,40.50,,2,2,-0.41,-0.3,-0.1,-0.280,-0.53,55.50,31.40,55.80,70.60,51.40,50.00,10.7
Brunei,BRN,"400,000","5,265",,-,-,0.853,-,72.50,,32.5,"76,884",-0.2,2.6,"2,083",3.4,"1,393",15,2,57.7,37.50,,6,5,1.19,1.1,0.7,0.650,0.71,57.10,45.40,56.60,85.60,64.20,50.00,9.1
Bulgaria,BGR,"7,000,000","108,489",,40.2,20.4,0.813,-,59.90,,144.6,"20,327",3,8.2,"1,492",-,-,15,8,60.5,36.30,,2,2,0.37,0.3,0.6,-0.040,-0.16,42.50,38.20,63.60,90.90,68.30,60.00,23.8
Burkina Faso,BFA,"19,000,000","273,800",,39.5,17.9,0.423,4.65,33.40,,32.8,"1,782",4,5.4,96,4.6,32,8,3,83.7,23.30,,4,3,-0.92,-0.6,-0.4,-0.400,-0.11,47.10,31.80,42.10,80.60,60.00,40.00,11.0
Burundi,BDI,"11,000,000","25,680",,42.4,15.6,0.417,-,28.30,,7.9,814,-4.1,8.2,64,-,-,11,1.6,78.6,26.70,,7,6,-1.97,-1.3,-0.8,-1.400,-1.28,21.70,26.20,17.60,71.00,50.90,30.00,36.4
Cabo Verde,CPV,"500,000","4,033",,-,-,0.654,-,-,,3.5,"6,662",1.8,4.9,310,5.0,175,13,10.5,71.5,30.80,,1,1,0.9,0.2,-0.2,0.410,0.84,52.00,42.80,42.10,74.00,60.00,60.00,23.6
Cambodia,KHM,"16,000,000","176,515",,37.9,25.6,0.582,4.59,38.50,,59.0,"3,737",6.9,6.0,210,1.9,21,11,0.3,86.5,21.20,,6,5,0.17,-0.7,-0.5,-1.060,-1.29,24.50,17.70,36.00,89.80,58.70,50.00,20.3
Cameroon,CMR,"24,000,000","472,710",,44.6,16.7,0.556,5.07,32.10,,76.9,"3,249",5.9,5.1,163,-,-,12,4.5,86.1,21.60,,6,6,-1.08,-0.8,-0.8,-1.020,-1.18,29.40,23.40,40.60,73.70,51.90,50.00,31.1
Canada,CAN,"37,000,000","9,093,507",,32.1,23.9,0.926,-,76.90,,1682.4,"46,437",1.2,10.4,"4,600",-,-,-,7.1,52.3,39.90,,1,1,1.11,1.9,1.9,1.800,1.92,77.10,78.30,87.50,76.70,77.70,80.00,26.3
Central African Republic,CAF,"4,900,000","622,984",,43.6,-,0.367,3.48,16.10,,3.2,652,4.3,4.8,32,-,-,7,6.9,94.6,13.40,,7,7,-1.94,-1.8,-1.5,-1.730,-1.17,28.20,24.60,17.90,64.60,49.20,30.00,8.6
Chad,TCD,"15,000,000","1,259,200",,43.3,12.8,0.404,4.56,20.40,,29.0,"2,445",1.8,4.6,100,-,-,7,5.8,90.5,17.70,,7,6,-1.34,-1.5,-1.2,-1.300,-1.43,24.10,23.10,25.10,44.80,49.30,40.00,12.8
Chile,CHL,"18,000,000","743,812",,50.5,31.7,0.843,6.32,62.60,,438.8,"24,113",2.1,8.1,"1,903",4.7,699,16,6.6,81.3,25.00,,1,1,0.38,0.9,1.3,1.010,1.04,63.40,61.20,67.90,78.00,75.20,70.00,15.8
China,CHN,"1,386,000,000","9,326,410",,46.5,25.7,0.752,5.10,50.80,,21291.8,"15,399",6.9,5.3,762,-,-,14,4.6,71.6,30.70,,7,6,-0.25,0.4,-0.2,-0.260,-0.27,65.40,47.30,46.70,70.40,57.80,20.00,24.2
Colombia,COL,"49,000,000","1,038,700",,51.1,40.7,0.843,6.16,49.10,,688.8,"14,130",3.1,6.2,853,4.7,369,14,9.9,74.4,29.20,,3,3,-0.79,-0.1,0.3,-0.360,-0.37,36.40,33.40,60.70,80.30,68.90,70.00,18.7
Comoros,COM,"800,000","2,235",,55.9,23.1,0.752,-,-,,1.3,"1,529",1,8.0,121,4.9,41,11,20,77.8,27.20,,3,4,0.03,-1.6,-1.0,-1.050,-0.68,28.20,27.50,36.70,59.70,56.20,30.00,6.1
Congo (Dem. Rep.),COD,"81,000,000","2,267,048",,42.1,-,0.457,4.31,24.8,,65.0,773,7.7,4.3,34,-,-,9,3.6,94.8,13.20,,7,6,-2.3,-1.6,-1.5,-1.690,-1.42,23.90,27.30,24.10,73.20,52.10,20.00,8.9
Congo (Rep.),COG,"4,500,000","341,500",,48.9,18.8,0.606,4.88,32.7,,29.8,"6,676",2.5,3.4,203,-,-,11,11.2,33.4,47.10,,7,5,-0.53,-1.2,-1.3,-1.100,-1.33,28.20,24.60,32.40,60.80,38.90,30.00,11.3
Costa Rica,CRI,"4,900,000","51,060",,48.5,44.7,0.794,7.23,58.90,,80.7,"16,436",3.7,8.1,"1,286",6.9,729,15,9,88.9,19.30,,1,1,0.51,0.3,0.5,0.450,0.47,57.80,51.80,54.80,79.30,65.60,50.00,35.1
Cote d'Ivoire,CIV,"24,000,000","318,003",,41.5,14.4,0.794,5.04,30.50,,87.8,"3,609",8.6,5.4,190,4.6,72,9,9.3,84.6,22.60,,4,4,-1.09,-0.7,-0.4,-0.630,-0.52,44.20,36.60,39.40,76.40,62.00,50.00,10.6
Croatia,HRV,"4,200,000","55,974",,30.8,30.2,0.831,5.34,64.50,,95.1,"22,795",1.6,7.4,"1,656",-,-,15,13.5,32.5,47.40,,1,2,0.75,0.6,0.4,0.330,0.19,56.50,40.50,65.90,66.00,61.00,60.00,18.5
Cuba,CUB,"11,000,000","109,820",,-,-,0.777,-,-,,142.0,"12,390",4.3,-,-,-,-,14,2.9,0,62.40,,7,6,0.69,-0.2,-1.3,-0.430,0.27,10.00,38.10,29.70,49.00,31.90,10.00,48.9
Cyprus,CYP,"800,000","9,241",,34.8,30.7,0.869,6.06,65.9,,29.7,"34,970",1.6,6.8,"2,137",-,-,15,11.7,52.9,39.60,,1,1,0.6,0.9,1.0,0.880,0.78,56.70,41.30,71.20,75.20,67.80,60.00,17.9
Czech Republic,CZE,"11,000,000","77,247",,-,27.3,0.888,6.79,71.1,,350.7,"33,232",4.2,7.3,"2,470",-,-,17,4,48.6,41.40,,1,1,1.02,1.0,1.2,1.120,0.57,57.90,51.10,73.00,82.90,74.20,80.00,20.0
Denmark,DNK,"6,000,000","42,434",,29.0,32.7,0.929,7.59,82,,273.9,"47,985",1.2,10.3,"5,083",-,-,19,6.1,10.6,54.60,,1,1,0.87,1.8,1.6,1.860,2.19,83.60,84.10,84.80,41.40,76.60,80.00,37.4
Djibouti,DJI,"1,000,000","23,180",,40.9,16.4,0.476,-,-,,3.3,"3,370",6.5,4.4,147,-,-,6,6.6,27.2,49.30,,6,5,-0.71,-1.0,-0.6,-0.910,-0.64,13.80,29.00,19.00,69.80,45.10,50.00,10.8
Dominica,DMA,"100,000",751,,-,-,0.715,-,-,,0.8,"11,375",-4.3,5.4,586,-,-,-,-,64.8,34.20,,1,1,1.04,-0.3,0.1,0.650,0.65,69.20,49.90,48.60,72.90,64.50,30.00,25.0
Dominican Republic,DOM,"11,000,000","48,320",,47.1,30.3,0.736,5.61,48.1,,161.8,"16,050",7,6.2,873,-,-,13,14.4,90.6,17.70,,3,3,0.16,-0.4,-0.1,-0.420,-0.74,23.10,26.20,51.70,84.60,61.60,40.00,26.8
Ecuador,ECU,"17,000,000","276,841",,45.9,37.0,0.752,5.84,48.1,,183.6,"11,109",0,6.8,980,-,-,15,5.4,52.5,39.80,,3,3,-0.1,-0.3,-1.0,-0.700,-0.60,23.30,30.20,36.70,79.40,48.50,40.00,38.0
Egypt,EGY,"98,000,000","995,450",,31.8,23.8,0.696,3.93,43.1,,1132.4,"12,554",4.2,7.3,495,-,-,13,12,65.1,34.10,,6,6,-1.42,-0.6,-0.9,-0.530,-0.54,52.50,32.20,32.70,84.20,53.40,50.00,14.9
El Salvador,SLV,"6,000,000","20,721",,36.0,35.6,0.674,6.34,47.2,,54.8,"8,909",2.4,10.3,578,3.4,124,13,6.3,86.3,21.30,,2,3,-0.25,-0.4,-0.2,-0.860,-0.51,35.40,25.20,37.30,78.90,63.20,60.00,32.1
Equatorial Guinea,GNQ,"800,000","28,051",,-,-,0.591,-,-,,31.7,"38,639",-12.2,4.4,790,-,-,-,7.3,61,36.10,,7,7,-0.15,-1.4,-1.4,-1.490,-1.83,17.60,26.20,29.80,69.60,42.00,30.00,24.0
Eritrea,ERI,"5,000,000","101,000",,-,-,0.440,-,-,,9.2,"1,410",4.8,5.4,56,-,-,5,7.3,75.6,28.50,,7,7,-0.66,-1.7,-2.2,-1.560,-1.20,13.80,23.40,35.50,79.90,41.70,20.00,22.0
Estonia,EST,"1,300,000","42,388",,34.8,17.9,0.871,5.94,70.8,,38.5,"29,313",1.1,6.2,"1,887",-,-,16,6.9,52.6,39.80,,1,1,0.66,1.1,1.6,1.280,1.24,83.90,75.70,80.40,80.70,78.80,80.00,26.7
Eswatini,SWZ,"1,100,000","17,204",,50.4,15.5,0.588,-,-,,11.1,"9,776",1.7,7.0,-,-,-,11,25.3,65.2,34.10,,7,6,-0.3,-0.6,-0.6,-0.290,-0.30,35.30,26.90,55.30,74.80,55.90,40.00,6.2
