name,index year,overall score,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,HDI Rank (2017),Country,year,hdi_value,iso3c,date,iso2c,NY.GDP.PCAP.PP.CD,NY.GNP.PCAP.KD.ZG,NY.GNP.PCAP.PP.CD,SI.POV.GINI,SP.POP.TOTL,country,hdi,efree,population,gni_per_cap,gni_per_cap_percent,gdp,gini,gdp_z,gini_z,hdi_z,efree_z,gni_z,gdp_01,hdi_01,efree_01,gini_01,gdp_log01,gni_01,first_gini_year,last_gini_year,years_of_gini,first_gini_value,last_gini_value,gini_change,gini_change_by_year,avg_gini,gini_category,first_efree_year,last_efree_year,years_of_efree,first_efree_value,last_efree_value,efree_change,efree_change_by_year,avg_efree
Sudan,2016,NA,NA,11,NA,86.4,94.8,NA,48.8,43.5,46.7,50.6,10,NA,167,Sudan,2016,0.499,SDN,2016,SD,4730.46186883399,1.96113614546792,4290,NA,39578828,Sudan,0.499,NA,39578828,4290,1.96113614546792,4730.46186883399,NA,-0.6069780585614366,NA,-0.9215505404256649,NA,-0.6238225590524209,0.04585169105853856,0.3523537803138374,NA,NA,0.4416160217020278,0.042822276458841804,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,47.2,48.8,1.5999999999999943,0.0941176470588232,48
Sweden,2016,72,90,87,NA,44.4,14.9,NA,89.7,53.5,87.1,88,85,80,7,Sweden,2016,0.932,SWE,2016,SE,48904.5543707155,2.15069866500079,49460,NA,9923085,Sweden,0.932,72,9923085,49460,2.15069866500079,48904.5543707155,NA,2.192519189947854,NA,1.5460488453263346,1.2157734204221684,2.2275643914503296,0.518502697293837,0.9700427960057063,0.7642276422764226,NA,0.8780899586678254,0.54393166185933,2003,2015,12,25.3,29.2,3.8999999999999986,0.3249999999999999,27.415384615384617,less equal,2000,2017,17,65.1,74.9,9.800000000000011,0.5764705882352947,70.86111111111111
Switzerland,2016,81,90,86,NA,70.9,66.3,NA,82.2,72.1,87.8,90,85,80,2,Switzerland,2016,0.943,CHE,2016,CH,63881.6746185979,NA,64480,NA,8373338,Switzerland,0.943,81,8373338,64480,NA,63881.6746185979,NA,3.1416820261227842,NA,1.6087361276433594,2.0912259382705978,3.1757121000301685,0.6787538887669197,0.9857346647646219,0.8861788617886178,NA,0.928011558818265,0.710561349012647,2006,2015,9,33.9,32.3,-1.6000000000000014,-0.17777777777777792,32.81,more equal,2000,2017,17,76.8,81.5,4.700000000000003,0.2764705882352943,79.74444444444444
Tajikistan,2016,51.3,20,23,NA,91.6,76.9,NA,61.1,47.3,69.8,68.6,25,30,127,Tajikistan,2016,0.647,TJK,2016,TJ,2979.31023901638,NA,3500,NA,8734951,Tajikistan,0.647,51.3,8734951,3500,NA,2979.31023901638,NA,-0.7179558713866385,NA,-0.07812165106932324,-0.7977673706292194,-0.6736918459883778,0.027114835742979508,0.5634807417974323,0.48373983739837384,NA,0.3552253516198579,0.034058131794985576,2003,2015,12,32.7,34,1.2999999999999972,0.1083333333333331,32.660000000000004,less equal,2000,2017,17,44.8,58.2,13.400000000000006,0.7882352941176474,51.51111111111111
Tanzania,2016,58.5,25,31,NA,79.2,88.4,NA,47.5,62.6,67.7,73.2,60,50,154,Tanzania,2016,0.533,TZA,2016,TZ,2786.27224269776,3.78795149180449,2740,NA,55572201,Tanzania,0.533,58.5,55572201,2740,3.78795149180449,2786.27224269776,NA,-0.7301894976807997,NA,-0.7277898496275862,-0.09740535635047567,-0.7216673625343617,0.025049380675673808,0.40085592011412274,0.58130081300813,NA,0.3427081928443224,0.025626802751275792,2000,2011,11,37.3,37.8,0.5,0.045454545454545456,38.46666666666666,less equal,2000,2017,17,56,58.6,2.6000000000000014,0.15294117647058833,57.51111111111111
Thailand,2016,63.9,40,38,NA,81.1,82.2,NA,76.3,62.5,70.9,77.6,50,60,83,Thailand,2016,0.748,THA,2016,TH,16937.9268850076,3.56437212609279,16140,NA,68863514,Thailand,0.748,63.9,68863514,16140,3.56437212609279,16937.9268850076,NA,0.16666012591503768,NA,0.4974615774779097,0.42786615435858183,0.12421674498693251,0.17646831036386793,0.7075606276747504,0.654471544715447,NA,0.6799606180591199,0.17428444641668517,2000,2015,15,42.8,36,-6.799999999999997,-0.45333333333333314,39.669230769230765,more equal,2000,2017,17,66.6,66.2,-0.3999999999999915,-0.023529411764705382,64.57222222222222
Togo,2016,53.6,30,29,NA,68.7,80.4,NA,51.4,46.2,79.5,71.2,50,30,165,Togo,2016,0.5,TGO,2016,TG,1497.42364345341,2.38506027019407,1550,NA,7606374,Togo,0.5,53.6,7606374,1550,2.38506027019407,1497.42364345341,NA,-0.8118692312752347,NA,-0.9158516965786625,-0.5740406160679538,-0.7967869213366259,0.011259044466914116,0.3537803138373752,0.5149051490514904,NA,0.2266765631274045,0.012425116485467052,2006,2015,9,42.2,43.1,0.8999999999999986,0.09999999999999984,43.766666666666666,less equal,2001,2017,16,45.3,53.2,7.900000000000006,0.49375000000000036,48.82941176470588
Tunisia,2016,57.6,40,40,NA,74,73.4,NA,81.3,64,75.6,62.2,35,30,95,Tunisia,2016,0.732,TUN,2016,TN,11605.7551761891,NA,11160,NA,11403248,Tunisia,0.732,57.6,11403248,11160,NA,11605.7551761891,NA,-0.17126192707972776,NA,0.4062800759258727,-0.18495060813531847,-0.19014913974859324,0.11941549544786009,0.6847360912981455,0.5691056910569104,NA,0.6093178264878467,0.11903705347237631,2000,2010,10,40.8,35.8,-5,-0.5,38.1,more equal,2000,2017,17,61.3,55.7,-5.599999999999994,-0.329411764705882,58.41111111111111
Turkey,2016,62.1,40,45,NA,75.2,55.6,NA,65.4,48.6,71.5,84.4,75,60,64,Turkey,2016,0.787,TUR,2016,TR,25247.2017504961,1.62351788292273,24980,41.9,79512426,Turkey,0.787,62.1,79512426,24980,1.62351788292273,25247.2017504961,41.9,0.6932536744310976,0.3357866407824593,0.7197164875109999,0.25277565078889624,0.6822477532323236,0.2653753349075308,0.7631954350927248,0.6300813008130081,0.52880658436214,0.75454722282371,0.2723541158198358,2002,2016,14,41.4,41.9,0.5,0.03571428571428571,40.58,less equal,2000,2017,17,63.4,65.2,1.8000000000000043,0.10588235294117672,59.9
Turkmenistan,2016,41.9,5,17,NA,95.3,92.2,NA,30,20,69.4,80,0,10,108,Turkmenistan,2016,0.705,TKM,2016,TM,16875.9877435703,NA,16430,NA,5662544,Turkmenistan,0.705,41.9,5662544,16430,NA,16875.9877435703,NA,0.16273478311322753,NA,0.25241129205681023,-1.7121288892709123,0.1425231920900053,0.17580557807288888,0.6462196861626248,0.35636856368563674,NA,0.6792760541377995,0.17750166407810072,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2017,8,44.2,47.4,3.1999999999999957,0.39999999999999947,43.28888888888889
Uganda,2016,59.3,25,26,NA,73.2,91.5,NA,40.3,83.7,80.1,72.8,60,40,162,Uganda,2016,0.508,UGA,2016,UG,1819.43435088296,1.14607103654633,1780,42.8,41487965,Uganda,0.508,59.3,41487965,1780,1.14607103654633,1819.43435088296,42.8,-0.79146206412401,0.43041258363946694,-0.870260945802644,-0.019587354763948895,-0.7822680150134992,0.01470447313935678,0.3651925820256776,0.5921409214092139,0.5473251028806585,0.2630728648951017,0.01497670290658975,2002,2016,14,45.2,42.8,-2.4000000000000057,-0.17142857142857185,43.22,more equal,2000,2017,17,58.2,60.9,2.6999999999999957,0.15882352941176445,61.53888888888889
Ukraine,2016,46.8,25,26,NA,78.6,30.6,NA,56.8,47.9,66.9,85.8,20,30,88,Ukraine,2016,0.746,UKR,2016,UA,8269.61463354542,2.96515440189449,8190,25,45004645,Ukraine,0.746,46.8,45004645,8190,2.96515440189449,8269.61463354542,25,-0.3826871254439835,-1.4410782861991316,0.4860638897839051,-1.2354936295534342,-0.3776324083559249,0.08371968156428684,0.7047075606276748,0.4227642276422763,0.18106995884773666,0.5459888773487226,0.08608830707787886,2002,2016,14,29,25,-4,-0.2857142857142857,26.5,more equal,2000,2017,17,47.8,48.1,0.30000000000000426,0.01764705882352966,49.25
United Arab Emirates,2016,72.6,55,70,NA,95,76.1,NA,79.6,80.7,81.3,82.8,45,60,34,United Arab Emirates,2016,0.862,ARE,2016,AE,73017.480009563,1.7901595802728,71750,NA,9269612,United Arab Emirates,0.862,72.6,9269612,71750,1.7901595802728,73017.480009563,NA,3.720656275652275,NA,1.1471297760361727,1.2741369216120633,3.6346357912003033,0.7765045694543746,0.87018544935806,0.7723577235772355,NA,0.9529883020392658,0.791213667628134,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2017,11,62.2,76.9,14.700000000000003,1.3363636363636366,68.40833333333333
United Kingdom,2016,76.4,90,78,NA,64.9,39,NA,86,71.8,76.4,88,90,80,14,United Kingdom,2016,0.92,GBR,2016,GB,42656.2166021995,1.39973906433333,41640,NA,65595565,United Kingdom,0.92,76.4,65595565,41640,1.39973906433333,42656.2166021995,NA,1.796535856731169,NA,1.4776627191623068,1.6437724291480678,1.7339215764640221,0.4516471499283463,0.9529243937232527,0.8238482384823848,NA,0.8525468124581219,0.4571777235411582,2004,2015,11,36,33.2,-2.799999999999997,-0.2545454545454543,34.108333333333334,more equal,2000,2017,17,77.3,76.4,-0.8999999999999915,-0.052941176470587735,77.21666666666667
United States,2016,75.4,80,74,NA,65.6,54.7,NA,84.7,91.4,77,87,70,70,13,United States,2016,0.922,USA,2016,US,57588.538070583,0.674972333510198,58650,41.5,323405935,United States,0.922,75.4,323405935,58650,0.674972333510198,57588.538070583,41.5,2.742859606626321,0.29373066617934485,1.4890604068563114,1.546499927164909,2.8076893875787396,0.6114190064109623,0.9557774607703282,0.8102981029810298,0.5205761316872429,0.908632612159833,0.645884180164189,2000,2016,16,40.4,41.5,1.1000000000000014,0.06875000000000009,40.81666666666666,less equal,2000,2017,17,76.4,75.1,-1.3000000000000114,-0.07647058823529479,78.06111111111112
Uzbekistan,2016,46,15,18,NA,90.4,66.6,NA,67.1,61.9,65.6,65.6,0,10,105,Uzbekistan,2016,0.703,UZB,2016,UZ,6512.68213066737,5.5722660441822,6640,NA,31847900,Uzbekistan,0.703,46,31847900,6640,5.5722660441822,6512.68213066737,NA,-0.4940312964060501,NA,0.24101360436280564,-1.3133116311399609,-0.4754772118378656,0.06492097244904149,0.6433666191155492,0.4119241192411923,NA,0.5013601439663611,0.06889283337031285,2000,2003,3,36.1,35.3,-0.8000000000000043,-0.2666666666666681,34.8,more equal,2000,2017,17,38.1,52.3,14.199999999999996,0.8352941176470585,45.416666666666664
Vietnam,2016,54,15,31,NA,79.3,75.1,NA,58.3,62.6,70.6,83,25,40,NA,NA,2016,NA,VNM,2016,VN,6295.59058534397,6.20404379246902,6040,35.3,94569072,Vietnam,NA,54,94569072,6040,6.20404379246902,6295.59058534397,35.3,-0.507789296839938,-0.35813694016893144,NA,-0.5351316152746903,-0.5133526196373266,0.06259815082372094,NA,0.5203252032520325,0.39300411522633744,0.49502527364791904,0.06223652096738407,2002,2016,14,37,35.3,-1.7000000000000028,-0.12142857142857164,36.275,more equal,2000,2017,17,43.7,52.4,8.699999999999996,0.5117647058823527,49.35
Zambia,2016,58.8,30,38,NA,73.3,81.1,NA,66.4,48.3,72.6,78.2,50,50,144,Zambia,2016,0.586,ZMB,2016,ZM,3938.66318847391,NA,3850,NA,16591390,Zambia,0.586,58.8,16591390,3850,NA,3938.66318847391,NA,-0.6571576570884899,NA,-0.4257511257364643,-0.0682236057555283,-0.651597858105359,0.03737965639269833,0.4764621968616262,0.5853658536585364,NA,0.40738693290095435,0.037940980696694035,2002,2015,13,42.1,57.1,15,1.1538461538461537,52.74,less equal,2000,2017,17,62.8,55.8,-7,-0.4117647058823529,57.85
Zimbabwe,2016,38.2,10,21,NA,60.8,73.6,NA,37.6,30,79.1,50.2,10,10,156,Zimbabwe,2016,0.532,ZWE,2016,ZW,2027.08491546614,-0.0425309338956339,1810,NA,16150362,Zimbabwe,0.532,38.2,16150362,1810,-0.0425309338956339,2027.08491546614,NA,-0.7783023781796466,NA,-0.7334886934745886,-2.0720371466085994,-0.7803742446235261,0.016926278789159036,0.39942938659058497,0.30623306233062325,NA,0.2832672862717124,0.015309518526736189,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,48.7,44,-4.700000000000003,-0.2764705882352943,33.43888888888889
Afghanistan,2015,NA,NA,8,NA,91.7,81.2,NA,61.4,67.5,72.6,NA,55,NA,168,Afghanistan,2015,0.493,AFG,2015,AF,1926.3573363363,-1.59275889190566,1940,NA,33736494,Afghanistan,0.493,NA,33736494,1940,-1.59275889190566,1926.3573363363,NA,-0.7846859067288972,NA,-0.9557436035076787,NA,-0.7721679062669763,0.015848520561769608,0.3437945791726106,NA,NA,0.2737434748096033,0.016751719547370758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,2015,48.9,30,36,NA,80,38.7,NA,66.6,50.5,71.2,60.8,25,30,85,Algeria,2015,0.749,DZA,2015,DZ,14614.970429045,1.42768356004032,14220,NA,39871528,Algeria,0.749,48.9,39871528,14220,1.42768356004032,14614.970429045,NA,0.019444646466372045,NA,0.503160421324912,-1.0312213753888004,0.003015440028657519,0.15161329593873307,0.7089871611982882,0.45121951219512185,NA,0.652397261774174,0.15298424672731306,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,56.8,46.5,-10.299999999999997,-0.6058823529411763,54.12222222222222
Angola,2015,47.9,15,23,NA,84.5,50.1,NA,47.4,43.2,65.4,70.2,40,40,147,Angola,2015,0.572,AGO,2015,AO,6631.61869398451,2.89619958289535,6250,NA,27859305,Angola,0.572,47.9,27859305,6250,2.89619958289535,6631.61869398451,NA,-0.48649378826733053,NA,-0.5055349395944967,-1.1284938773719593,-0.5000962269075152,0.06619356194994908,0.45649072753209696,0.4376693766937668,NA,0.504741831996479,0.06456623030840915,2000,2008,8,52,42.7,-9.299999999999997,-1.1624999999999996,47.35,more equal,2000,2017,17,24.3,48.5,24.2,1.423529411764706,45.23076923076923
Argentina,2015,44.1,15,34,NA,66.8,41.2,NA,52.8,43.3,59.6,68.8,30,30,47,Argentina,2015,0.822,ARG,2015,AR,20356.9155095569,0.0400095974365513,19630,NA,43417765,Argentina,0.822,44.1,43417765,19630,0.0400095974365513,20356.9155095569,NA,0.38333575420785776,NA,0.9191760221560802,-1.4981293849079627,0.3445253670204636,0.213050576623926,0.8131241084165478,0.3861788617886178,NA,0.7143175014994789,0.21300199689372087,2000,2016,16,51.1,42.4,-8.700000000000003,-0.5437500000000002,46.09375,more equal,2000,2017,17,70,50.4,-19.6,-1.1529411764705884,53.36666666666667
Australia,2015,81.4,90,81,NA,63.7,61.8,NA,94.1,81.6,85.3,86.4,80,90,3,Australia,2015,0.936,AUS,2015,AU,46220.2512642307,1.52535960827835,45270,NA,23850784,Australia,0.936,81.4,23850784,45270,1.52535960827835,46220.2512642307,NA,2.022403659890297,NA,1.5688442207143438,2.1301349390638618,1.9630677936507608,0.4897813700981161,0.9757489300998575,0.8915989159891599,NA,0.867541308761751,0.4974484135788773,2001,2010,9,33.5,34.7,1.2000000000000028,0.13333333333333364,34.275,less equal,2000,2017,17,77.1,81,3.9000000000000057,0.22941176470588268,80.41111111111111
Austria,2015,71.2,90,69,NA,50.1,19.8,NA,78,76.7,80.3,88,90,70,20,Austria,2015,0.903,AUT,2015,AT,49883.0412977321,-0.891109518915229,49520,30.5,8642699,Austria,0.903,71.2,8642699,49520,-0.891109518915229,49883.0412977321,30.5,2.25453000453943,-0.862808635406306,1.3807823737632676,1.1379554188356416,2.2313519322302757,0.528972246399408,0.92867332382311,0.7533875338753386,0.29423868312757206,0.881791738687987,0.5445972930996228,2003,2015,12,29.5,30.5,1,0.08333333333333333,30.26923076923077,less equal,2000,2017,17,68.4,72.3,3.8999999999999915,0.22941176470588184,70.35555555555555
Azerbaijan,2015,61,20,28,NA,88.1,59.7,NA,74.5,79.1,79.8,76,55,50,80,Azerbaijan,2015,0.758,AZE,2015,AZ,17782.0261527141,NA,17100,NA,9649341,Azerbaijan,0.758,61,9649341,17100,NA,17782.0261527141,NA,0.22015423170368303,NA,0.5544500159479329,0.14577589860742138,0.18481739746607,0.18549994736301992,0.7218259629101285,0.6151761517615175,NA,0.6890481044226981,0.1849345462613712,2001,2005,4,36.5,16.6,-19.9,-4.975,21.1,more equal,2000,2017,17,49.8,63.6,13.800000000000004,0.8117647058823532,56.644444444444446
Bangladesh,2015,53.9,20,27,NA,72.7,92,NA,62.2,63.7,67.7,59,45,30,136,Bangladesh,2015,0.592,BGD,2015,BD,3335.75979065344,5.1761515908223,3550,NA,161200886,Bangladesh,0.592,53.9,161200886,3550,5.1761515908223,3335.75979065344,NA,-0.6953661704437654,NA,-0.3915580626544504,-0.5448588654730064,-0.6705355620050895,0.03092875086180626,0.48502139800285304,0.5189701897018969,NA,0.3763420271069354,0.03461282449522964,2000,2016,16,33.4,32.4,-1,-0.0625,32.775,more equal,2000,2017,17,48.9,55,6.100000000000001,0.35882352941176476,50.90555555555556
Belarus,2015,49.8,20,29,NA,86.4,54.7,NA,72,80.1,44.5,81,20,10,53,Belarus,2015,0.805,BLR,2015,BY,18347.1407011402,-6.00499442734629,17550,26.7,9489616,Belarus,0.805,49.8,9489616,17550,-6.00499442734629,18347.1407011402,26.7,0.2559679074083747,-1.2623403941358946,0.8222956767570415,-0.9436761236039577,0.2132239533156657,0.19154652228564964,0.7888730385164052,0.4634146341463413,0.2160493827160494,0.6948940901991668,0.1899267805635678,2000,2016,16,31.2,27,-4.199999999999999,-0.26249999999999996,28.129411764705882,more equal,2000,2017,17,41.3,58.6,17.300000000000004,1.0176470588235296,46.30555555555556
Belgium,2015,68.8,80,75,NA,43.6,10.2,NA,90.7,63.7,81.7,88,85,70,17,Belgium,2015,0.913,BEL,2015,BE,45414.8905975223,0.347570900211664,45330,27.7,11274196,Belgium,0.913,68.8,11274196,45330,0.347570900211664,45414.8905975223,27.7,1.9713645814890433,-1.1572004576281083,1.4377708122332906,0.9045014140760599,1.966855334430707,0.4811642257960381,0.942938659058488,0.7208672086720865,0.23662551440329221,0.8642567023776186,0.49811404481917015,2003,2015,12,28.1,27.7,-0.40000000000000213,-0.03333333333333351,28.43076923076923,more equal,2000,2017,17,63.5,67.8,4.299999999999997,0.25294117647058806,69.0111111111111
Benin,2015,58.8,30,36,NA,68.3,86.7,NA,55.2,53.2,79.9,58.4,70,50,163,Benin,2015,0.508,BEN,2015,BJ,2116.03677458311,-0.376242164149431,2110,47.8,10575952,Benin,0.508,58.8,10575952,2110,-0.376242164149431,2116.03677458311,47.8,-0.772665126325811,0.9561122661783992,-0.870260945802644,-0.0682236057555283,-0.7614365407237956,0.01787803995360957,0.3651925820256776,0.5853658536585364,0.6502057613168725,0.2912921538465297,0.018637674728200576,2003,2015,12,38.6,47.8,9.199999999999996,0.7666666666666663,43.266666666666666,less equal,2000,2017,17,61.5,59.2,-2.299999999999997,-0.13529411764705865,56.638888888888886
Bolivia,2015,46.8,10,34,NA,86.8,60.9,NA,53.7,25.5,69.7,77.6,10,40,118,Bolivia,2015,0.681,BOL,2015,BO,6955.18276973353,5.51967456792816,6720,46.7,10724705,Bolivia,0.681,46.8,10724705,6720,5.51967456792816,6955.18276973353,46.7,-0.4659881776599988,0.8404583360198347,0.11563903972875539,-1.2354936295534342,-0.4704271574646042,0.0696556112490457,0.6119828815977176,0.4227642276422763,0.6275720164609055,0.5136434505655147,0.06978034169070335,2000,2016,16,61.6,44.6,-17,-1.0625,52.160000000000004,more equal,2000,2017,17,65,47.7,-17.299999999999997,-1.0176470588235293,55.1
Brazil,2015,56.6,50,42,NA,68.4,50.9,NA,53.6,52.1,69.4,69.6,50,60,79,Brazil,2015,0.757,BRA,2015,BR,15656.2666699696,NA,15330,51.3,205962108,Brazil,0.757,56.6,205962108,15330,NA,15656.2666699696,51.3,0.08543595033361776,1.3241020439556517,0.5487511721009305,-0.2822231101184773,0.07308494445766024,0.1627548879485991,0.7203994293865906,0.5555555555555555,0.7222222222222222,0.6652578048411741,0.16529842467273131,2001,2015,14,58.4,51.3,-7.100000000000001,-0.5071428571428572,54.72857142857143,more equal,2000,2017,17,61.1,52.9,-8.200000000000003,-0.48235294117647076,58.44444444444444
Bulgaria,2015,66.8,30,41,NA,91,64.5,NA,68.5,76.6,83.2,88,65,60,51,Bulgaria,2015,0.807,BGR,2015,BG,18115.2303685143,3.04539863125861,17750,NA,7177991,Bulgaria,0.807,66.8,7177991,17750,3.04539863125861,18115.2303685143,NA,0.24127077836017918,NA,0.8336933644510461,0.7099564101097423,0.22584908924881936,0.18906514358913595,0.7917261055634809,0.6937669376693766,NA,0.6925171139608814,0.19214555136454403,2006,2014,8,35.7,37.4,1.6999999999999957,0.21249999999999947,35.46666666666667,less equal,2000,2017,17,47.3,67.9,20.60000000000001,1.2117647058823535,61.83888888888889
Burkina Faso,2015,58.6,25,38,NA,82.4,79.8,NA,49.6,57.8,80,68.2,65,40,183,Burkina Faso,2015,0.412,BFA,2015,BF,1699.8799348695,0.56877115615255,1630,NA,18110624,Burkina Faso,0.412,58.6,18110624,1630,0.56877115615255,1699.8799348695,NA,-0.7990387281757404,NA,-1.4173499551148658,-0.08767810615215965,-0.7917368669633644,0.013425272779412124,0.22824536376604848,0.5826558265582655,NA,0.2503724324884007,0.013312624805857555,2003,2014,11,43.3,35.3,-8,-0.7272727272727273,39.46666666666666,more equal,2000,2017,17,55.7,59.6,3.8999999999999986,0.22941176470588226,58.19444444444444
Burundi,2015,53.7,20,21,NA,73.5,61.3,NA,61.4,68.1,69.8,72.2,60,30,185,Burundi,2015,0.418,BDI,2015,BI,796.960811411939,-6.65084075755202,800,NA,10199270,Burundi,0.418,53.7,10199270,800,-6.65084075755202,796.960811411939,NA,-0.8562604945682973,NA,-1.3831568920328519,-0.5643133658696378,-0.8441311810859521,0.003764279014047672,0.2368045649072753,0.516260162601626,NA,0.108825431548762,0.004104725981806079,2006,2013,7,33.4,38.6,5.200000000000003,0.7428571428571432,36,less equal,2000,2017,17,42.6,53.2,10.600000000000001,0.623529411764706,49.2
Cambodia,2015,57.5,25,20,NA,90.5,87.5,NA,29.2,62.2,78.7,72.2,60,50,146,Cambodia,2015,0.571,KHM,2015,KH,3504.41825365613,4.79644702827787,3290,NA,15517635,Cambodia,0.571,57.5,15517635,3290,4.79644702827787,3504.41825365613,NA,-0.6846775772803918,NA,-0.511233783441499,-0.1946778583336345,-0.6869482387181892,0.03273335142592481,0.45506419400855913,0.567750677506775,NA,0.38555866572935926,0.03172842245396051,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,59.3,59.5,0.20000000000000284,0.011764705882353108,58.46666666666667
Cameroon,2015,51.9,25,25,NA,71.7,87.8,NA,41.6,47.8,75.6,59.6,35,50,151,Cameroon,2015,0.548,CMR,2015,CM,3502.40788727502,2.30543246333457,3450,NA,22834522,Cameroon,0.548,51.9,22834522,3450,2.30543246333457,3502.40788727502,NA,-0.6848049826176306,NA,-0.6423071919225516,-0.739403869439324,-0.6768481299716662,0.03271184104191652,0.42225392296718983,0.4918699186991869,NA,0.3854514403293479,0.033503439094741516,2001,2014,13,42.1,46.6,4.5,0.34615384615384615,43.833333333333336,less equal,2000,2017,17,49.9,51.8,1.8999999999999986,0.11176470588235286,52.78888888888889
Canada,2015,79.1,90,81,NA,79.9,48.3,NA,89,76.1,77.9,88.4,80,80,12,Canada,2015,0.92,CAN,2015,CA,44647.3642265863,0.303746955307076,43960,NA,35832513,Canada,0.92,79.1,35832513,43960,0.303746955307076,44647.3642265863,NA,1.9227232208656837,NA,1.4776627191623068,1.9064081845025955,1.8803731532886043,0.47295189836634444,0.9529243937232527,0.8604336043360431,NA,0.8610717364103037,0.4829154648324828,2000,2013,13,33.3,34,0.7000000000000028,0.053846153846154064,33.68,less equal,2000,2017,17,70.5,78.5,8,0.47058823529411764,77.47777777777777
Chad,2015,45.9,20,19,NA,46.2,83.6,NA,27.1,47.7,75.6,55.2,45,40,186,Chad,2015,0.407,TCD,2015,TD,2201.18269886883,1.47154685152806,2130,NA,14009413,Chad,0.407,45.9,14009413,2130,1.47154685152806,2201.18269886883,NA,-0.7672690725019662,NA,-1.4458441743498773,-1.323038881338277,-0.7601740271304803,0.018789078630607088,0.22111269614835946,0.4105691056910568,NA,0.2986637213643648,0.0188595518082982,2003,2011,8,39.8,43.3,3.5,0.4375,41.55,less equal,2000,2017,17,46.8,49,2.200000000000003,0.12941176470588253,48.00555555555555
Chile,2015,78.5,90,71,NA,76.5,83.3,NA,69.3,67,85.6,82,90,70,44,Chile,2015,0.84,CHL,2015,CL,22785.8180304618,1.61605797569852,22060,47.7,17762681,Chile,0.84,78.5,17762681,22060,1.61605797569852,22785.8180304618,47.7,0.5372654795073855,0.9455982725276211,1.0217552114021218,1.8480446833127007,0.4979207686082804,0.2390391856826012,0.8388017118402282,0.8523035230352302,0.6481481481481483,0.7353797967824204,0.23996006212558244,2000,2015,15,52.8,47.7,-5.099999999999994,-0.33999999999999964,49.15714285714286,more equal,2000,2017,17,74.7,76.5,1.7999999999999972,0.1058823529411763,77.45555555555555
China,2015,52.7,20,40,NA,69.7,81.5,NA,52.1,63,74.2,71.8,25,30,86,China,2015,0.743,CHN,2015,CN,14450.094990196,5.82274982912008,14400,NA,1371220000,China,0.743,52.7,1371220000,14400,5.82274982912008,14450.094990196,NA,0.008995799387399635,NA,0.46896735824289815,-0.6615858678527966,0.014378062368495799,0.1498491727239291,0.7004279600570614,0.5027100271002709,NA,0.6502772752036201,0.1549811404481917,2008,2012,4,42.8,42.2,-0.5999999999999943,-0.14999999999999858,42.5,more equal,2000,2017,17,56.4,57.4,1,0.058823529411764705,52.955555555555556
Colombia,2015,71.7,50,36,NA,80.3,76,NA,81.5,81.7,80.1,81.2,80,70,90,Colombia,2015,0.742,COL,2015,CO,13827.6727863559,3.7109556872952,13560,51.1,48228697,Colombia,0.742,71.7,48228697,13560,3.7109556872952,13827.6727863559,51.1,-0.030449702452558427,1.3030740566540948,0.46326851439589584,1.186591669827221,-0.038647508550749506,0.14318942117531078,0.6990014265335236,0.7601626016260161,0.7181069958847739,0.642050040326107,0.14566230308409142,2000,2016,16,58.7,50.8,-7.900000000000006,-0.49375000000000036,54.16,more equal,2000,2017,17,63.3,69.7,6.400000000000006,0.37647058823529445,65.38333333333334
Cuba,2015,29.6,10,46,NA,61.8,0,NA,20,20,64.8,63.8,0,10,73,Cuba,2015,0.772,CUB,2015,CU,NA,NA,NA,NA,11461432,Cuba,0.772,29.6,11461432,NA,NA,NA,NA,NA,NA,0.6342338298059652,-2.9085806636637654,NA,NA,0.7417974322396577,0.1897018970189702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,31.3,33.9,2.599999999999998,0.1529411764705881,30.377777777777776
Czech Republic,2015,72.5,75,48,NA,81.5,40.6,NA,68.2,82.9,81.2,88,80,80,NA,NA,2015,NA,CZE,2015,CZ,33468.7264974291,5.36526324904261,31210,25.9,10546059,Czech Republic,NA,72.5,10546059,31210,5.36526324904261,33468.7264974291,25.9,1.2142861304257433,-1.3464523433421238,NA,1.2644096714137478,1.0755207375500595,0.35334345659018396,NA,0.7710027100271001,0.19958847736625515,0.8072220259934331,0.3414688262702463,2004,2015,11,27.5,25.9,-1.6000000000000014,-0.1454545454545456,26.416666666666668,more equal,2000,2017,17,68.6,73.3,4.700000000000003,0.2764705882352943,69.32777777777778
