name,index year,overall score,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,HDI Rank (2017),Country,year,hdi_value,iso3c,date,iso2c,NY.GDP.PCAP.PP.CD,NY.GNP.PCAP.KD.ZG,NY.GNP.PCAP.PP.CD,SI.POV.GINI,SP.POP.TOTL,country,hdi,efree,population,gni_per_cap,gni_per_cap_percent,gdp,gini,gdp_z,gini_z,hdi_z,efree_z,gni_z,gdp_01,hdi_01,efree_01,gini_01,gdp_log01,gni_01,first_gini_year,last_gini_year,years_of_gini,first_gini_value,last_gini_value,gini_change,gini_change_by_year,avg_gini,gini_category,first_efree_year,last_efree_year,years_of_efree,first_efree_value,last_efree_value,efree_change,efree_change_by_year,avg_efree
Benin,2017,59.2,36,31.3,29.4,68.6,85.9,71.3,51.9,52.4,85.4,68.7,80,50,163,Benin,2017,0.515,BEN,2017,BJ,2266.23160222454,2.53643126803182,2260,NA,11175692,Benin,0.515,59.2,11175692,2260,2.53643126803182,2266.23160222454,NA,-0.7631466510633118,NA,-0.8303690388736279,-0.029314604962264224,-0.7519676887739304,0.01948508454457735,0.37517831669044227,0.5907859078590785,NA,0.3041057175874759,0.020301752828932772,2003,2015,12,38.6,47.8,9.199999999999996,0.7666666666666663,43.266666666666666,less equal,2000,2017,17,61.5,59.2,-2.299999999999997,-0.13529411764705865,56.638888888888886
Bolivia,2017,47.7,25.7,32.6,15.4,86.1,49.1,81.4,58.9,35.8,66.4,76,5,40,118,Bolivia,2017,0.693,BOL,2017,BO,7559.63940406033,1.4017300571972,7330,NA,11051600,Bolivia,0.693,47.7,11051600,7330,1.4017300571972,7559.63940406033,NA,-0.42768122920216717,NA,0.1840251658927825,-1.1479483777685906,-0.43192049286848555,0.0761231359962263,0.6291012838801712,0.4349593495934959,NA,0.5292155965075439,0.07654759263368094,2000,2016,16,61.6,44.6,-17,-1.0625,52.160000000000004,more equal,2000,2017,17,65,47.7,-17.299999999999997,-1.0176470588235293,55.1
Brazil,2017,52.9,55,33.4,49.7,70.1,53.1,22.8,61.3,52.3,67,69.4,50,50,79,Brazil,2017,0.759,BRA,2017,BR,15483.5408303931,NA,15160,NA,209288278,Brazil,0.759,52.9,209288278,15160,NA,15483.5408303931,NA,0.07448959048207641,NA,0.5601488597949351,-0.6421313674561652,0.06235357891447965,0.1609067675401223,0.7232524964336663,0.5054200542005419,NA,0.6631848509864597,0.1634124694919015,2001,2015,14,58.4,51.3,-7.100000000000001,-0.5071428571428572,54.72857142857143,more equal,2000,2017,17,61.1,52.9,-8.200000000000003,-0.48235294117647076,58.44444444444444
Bulgaria,2017,67.9,62.5,41.8,38.9,91,58.4,86.4,66.7,68.3,83.3,87,70,60,51,Bulgaria,2017,0.813,BGR,2017,BG,20329.3436113181,5.52604703170661,20500,NA,7075991,Bulgaria,0.813,67.9,7075991,20500,5.52604703170661,20329.3436113181,NA,0.3815884075418814,NA,0.8678864275330593,0.8169561622912178,0.399444708329682,0.21275556466763443,0.8002853067047075,0.7086720867208671,NA,0.7140642437376739,0.2226536498779676,2006,2014,8,35.7,37.4,1.6999999999999957,0.21249999999999947,35.46666666666667,less equal,2000,2017,17,47.3,67.9,20.60000000000001,1.2117647058823535,61.83888888888889
Burkina Faso,2017,59.6,38.2,31.7,28.4,82.6,82.5,88.4,46.4,53.3,84.6,69.2,70,40,183,Burkina Faso,2017,0.423,BFA,2017,BF,1869.75816149248,3.14776732494633,1810,NA,19193382,Burkina Faso,0.423,59.6,19193382,1810,3.14776732494633,1869.75816149248,NA,-0.7882728334832254,NA,-1.3546626727978404,0.009594395830999167,-0.7803742446235261,0.015242924488893188,0.24393723252496433,0.5962059620596205,NA,0.2681710186767294,0.015309518526736189,2003,2014,11,43.3,35.3,-8,-0.7272727272727273,39.46666666666666,more equal,2000,2017,17,55.7,59.6,3.8999999999999986,0.22941176470588226,58.19444444444444
Burundi,2017,53.2,25.7,24.6,19.8,73.8,69.5,69.6,53.5,67.4,75.2,74.2,55,30,185,Burundi,2017,0.417,BDI,2017,BI,770.941374349935,NA,770,NA,10864245,Burundi,0.417,53.2,10864245,770,NA,770.941374349935,NA,-0.8579094552675971,NA,-1.3888557358798541,-0.6129496168612172,-0.846024951475925,0.0034858779782254113,0.2353780313837375,0.5094850948509485,NA,0.10262299121972687,0.0037719103616596404,2006,2013,7,33.4,38.6,5.200000000000003,0.7428571428571432,36,less equal,2000,2017,17,42.6,53.2,10.600000000000001,0.623529411764706,49.2
Cambodia,2017,59.5,42.4,12.8,22.1,90.2,88.1,95.7,29.6,62,81,80.3,60,50,146,Cambodia,2017,0.582,KHM,2017,KH,4001.75677751144,5.14263689573171,3760,NA,16005373,Cambodia,0.582,59.5,16005373,3760,5.14263689573171,4001.75677751144,NA,-0.6531591521072814,NA,-0.44854650112447353,-1.3285436731685365e-4,-0.6572791692752781,0.0380547409650484,0.470756062767475,0.594850948509485,NA,0.4103565105918394,0.03694253383625472,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,59.3,59.5,0.20000000000000284,0.011764705882353108,58.46666666666667
Cameroon,2017,51.8,43.5,17.4,29.6,75.4,84.4,60.9,44.3,47.8,80.1,53.4,35,50,151,Cameroon,2017,0.556,CMR,2017,CM,3694.19995303906,1.04615816806219,3640,NA,24053727,Cameroon,0.556,51.8,24053727,3640,1.04615816806219,3694.19995303906,NA,-0.6726503161608273,NA,-0.596716441146533,-0.74913111963764,-0.6648542508351702,0.034763964984642876,0.43366619115549226,0.4905149051490514,NA,0.39541350692182897,0.03561127135566896,2001,2014,13,42.1,46.6,4.5,0.34615384615384615,43.833333333333336,less equal,2000,2017,17,49.9,51.8,1.8999999999999986,0.11176470588235286,52.78888888888889
Canada,2017,78.5,88.3,81.6,80.8,77.4,52.3,80.3,81.9,73.1,77.8,88.4,80,80,12,Canada,2017,0.926,CAN,2017,CA,46704.8947215251,NA,46070,NA,36708083,Canada,0.926,78.5,36708083,46070,NA,46704.8947215251,NA,2.0531175455269044,NA,1.5118557822443206,1.8480446833127007,2.0135683373833753,0.4949669258114745,0.9614835948644794,0.8523035230352302,NA,0.8694904209242006,0.5063234967827823,2000,2013,13,33.3,34,0.7000000000000028,0.053846153846154064,33.68,less equal,2000,2017,17,70.5,78.5,8,0.47058823529411764,77.47777777777777
Chad,2017,49,30.6,24.6,24.1,46,87.2,74.6,27.5,44.9,74.3,54.7,60,40,186,Chad,2017,0.404,TCD,2017,TD,1941.17556764938,-5.37894168070832,1920,NA,14899994,Chad,0.404,49,14899994,1920,-5.37894168070832,1941.17556764938,NA,-0.7837468133499675,NA,-1.4629407058908839,-1.0214941251904845,-0.7734304198602916,0.01600707168402427,0.21683309557774613,0.45257452574525736,NA,0.2751753602377616,0.01652984246727313,2003,2011,8,39.8,43.3,3.5,0.4375,41.55,less equal,2000,2017,17,46.8,49,2.200000000000003,0.12941176470588253,48.00555555555555
Chile,2017,76.5,68.2,70.5,63.7,77.6,82.2,96.1,72.3,64.3,82.2,86.4,85,70,44,Chile,2017,0.843,CHL,2017,CL,24634.9702104917,0.648877191338613,23670,NA,18054726,Chile,0.843,76.5,18054726,23670,0.648877191338613,24634.9702104917,NA,0.654453997638192,NA,1.0388517429431288,1.6534996793463832,0.5995531128701672,0.2588246207435728,0.8430813124108416,0.8252032520325202,NA,0.7499601467313025,0.2578211670734413,2000,2015,15,52.8,47.7,-5.099999999999994,-0.33999999999999964,49.15714285714286,more equal,2000,2017,17,74.7,76.5,1.7999999999999972,0.1058823529411763,77.45555555555555
China,2017,57.4,48.3,41.6,60.7,70,73,92.5,53.9,63.4,71.8,73.6,20,20,86,China,2017,0.752,CHN,2017,CN,16806.7418595372,6.38000216098386,16760,NA,1386395000,China,0.752,57.4,1386395000,16760,6.38000216098386,16806.7418595372,NA,0.1583463814315632,NA,0.520256952865919,-0.2044051085319505,0.1633546663797088,0.17506466558522427,0.7132667617689016,0.5663956639566394,NA,0.6785077536857471,0.18116263589971157,2008,2012,4,42.8,42.2,-0.5999999999999943,-0.14999999999999858,42.5,more equal,2000,2017,17,56.4,57.4,1,0.058823529411764705,52.955555555555556
